Day,Date,LinkedIn Ads,CTV/Display,BDR LinkedIn,BDR Email,BDR Phone,Direct Mail,AE Touch,Event Invite,Action Summary,Owner,Notes
1,,ON,ON,View profiles,,,,,Turn on air cover - ads start running,Marketing,
2,,ON,ON,View profiles,,,,,Continue profile viewing,BDR,
3,,ON,ON,Like/comment on post,,,,,Engage with any prospect content,BDR,
4,,ON,ON,,,,,,Air cover only,Marketing,
5,,ON,ON,Send connection request,,,,,Primary contact - personalized note,BDR,
6,,ON,ON,,,,,,Monitor for acceptance,BDR,
7,,ON,ON,,,,,,Check ads are delivering to account,Marketing,Week 1 complete
8,,ON,ON,,Email #1 - Value-driven,,,,First email - no ask just value,BDR,
9,,ON,ON,InMail to contact #2,,,,,Second contact engagement,BDR,
10,,ON,ON,,,Ship package,,,Direct mail in transit (arrives Day 14-15),Marketing,
11,,ON,ON,,Email #2 - Content share,,,,Case study or insight share,BDR,
12,,ON,ON,Engage with activity,,,,,Monitor and engage,BDR,
13,,ON,ON,,,,,,Air cover continues,Marketing,
14,,ON,ON,,,,,,Review engagement - adjust approach,BDR + Mktg,Week 2 complete
15,,ON,ON,,,ARRIVES,,,Direct mail package arrives,Prospect,
16,,ON,ON,,Email #3 - Reference DM,Call #1,,,,Warm call - reference touchpoints,BDR,
17,,ON,ON,Follow-up message,,,,,Reference direct mail in LI message,BDR,
18,,Switch to MOFU,ON,,,,,,Shift to product-focused ads,Marketing,
19,,MOFU,ON,,,Call #2,,,,Second call attempt,BDR,
20,,MOFU,ON,,Email #4 - Meeting request,,,,Specific ask for meeting,BDR,
21,,MOFU,ON,,,,,,Account score review - ready for AE?,BDR + Mktg,Week 3 complete
22,,MOFU,ON,,Email #5 - Value add,,,,Last BDR email before break,BDR,
23,,MOFU,ON,,,,,AE connection request,,AE enters the conversation,AE,
24,,MOFU,ON,,,,Event/dinner invite,,Send exclusive invitation,BDR,
25,,MOFU,ON,,,Call #3,,,,Third call attempt,BDR,
26,,MOFU,ON,,,,,AE engages content,,AE visible on prospect's radar,AE,
27,,MOFU,ON,,,,AE personal email,,,Different angle from AE,AE,
28,,MOFU,ON,,,,,,Score review - meeting booked?,Team,
29,,MOFU,ON,,,,,,Decision point - continue or pause?,Team,
30,,Adjust,Adjust,,,,,,Adjust messaging based on outcome,Team,Week 4 complete
